sentence,classification
"right, right, okay, okay.",x
"now shifting to issue that, i don't know if you would even consider something like this, but, like councilman kiel smith said, i'm always about garbage cans.",x
i'd love to have them every corner.,x
honestly i would.,x
i think people use them if you put them out.,x
"but if there's a law and they throw it on the ground, it's unfortunate, but that's kind of the way it is.",x
"so you know, i've been taking up on myself to pick up, clean up- you know, getting volunteers to clean up sides of roads and things of that nature, but most specifically it was the entrance to the liberty tubes, okay, and you know what a mess that was.",x
it was just just the point of the road and the road was just a mess and it was just a mess horrible.,x
got it all cleaned up.,x
"i developed a rapport with the people, kind of hang out there.",x
so you know they know what i expect out of them.,x
"they're asking for a garbage can, right, because they're putting their.",x
"now i don't weigh in on whether it's right or not for them to be their panhandling, that's, if we're going to allow it as a city, that's fine by me.",x
i just don't want syringes there and i don't want them leaving their garbage behind.,x
you're not going to be told them that.,x
"and they've said and they've started actually to put their- you know- trash in one spot, for me at least.",x
"but you know, they drink, they beverages, they eat.",x
people give them food.,x
there's garbage that accumulates.,x
"so, as crazy as it sounds, can we get them a garbage can underneath the liberty to ceremony?",x
"certainly, we'll talk to our staff to see what we can do about that.",x
"yeah, because, because i think that would help.",x
"as far as my eye goes, when i see a loaf of bread or you know something, laying on the ground there- unsanitary, you know, i'm just like, oh god, so you know.",x
"and then if we're gonna again, if we're gonna allow them to be there every morning, afternoon and do what they do, i'm not, i don't object to that, i object, i don't want the garbage there.",x
"i don't want needle, hypodermic needles there.",x
"if that's the case, i want them out, you know so.",x
"so if i, if you would entertain that, i think no, absolutely, yeah, okay, appreciate that, thanks, that's it for me, madam chair.",x
"thank you, councilman.",x
are there any further questions?,x
"if not, i have a couple myself.",x
anyone online?,x
"okay, thank you.",x
first i want to thank you for arranging this arrangement.,x
"it's great and it's much needed, and although i don't see the exact same volume of these kind of move out issues right around the part of oakland that i represent as much as council person.",x
"charlotte, it's definitely noticeable.",x
we know it's been an issue every year.,x
opdc and pitt have tried- you know numerous different strategies and so i'm glad this is happening.,x
"and i also want to thank you, director, for making the time, taking the time to call each of the council members in oakland to give us a heads up about this and allow us to ask our own questions about this.",x
"so i don't think i have too many questions, only to say that i think what we discussed was looking at this to see if we can learn something, whether we can apply it to other neighborhoods.",x
"i mean, of course, i'm sure that you know it's it's a, it's a, it's a.",x
"it's a difficult decision to make, but i do believe it would be okay.",x
you know i could not ask out a lot more.,x
"i mean like, yeah, i'm definitely grateful that we can support it, but i think it's really important to add on a lot of these things just to how one might think that downtown, with what we call an offense boxes- i don't know as a community- can be had on right without treasurables for those issues.",x
"and you know, i think to t ending as a publicstal of a process that could be combined in this project- is role will always stay in one place, on the land and the level of works that you would like to see.",x
so it's not a law firm that who will be the first to deal with theimer.,x
can you just answer that question?,x
"okay, there's so much more to consider, but i think this, this collector, also works as a part of Great.",x
"My question is: the amendment moves from like a discrete number of 15 occasions- 3,000 per event- to actual costs incurred.",x
What was the reason for that change?,x
And I know we said it'll be cost incurred.,x
"We don't really know until we do it, but do we have a rough estimate of what that'll be?",x
"Is it still going to be roughly 3,000 per pickup or total or anything more?",x
"Yes, it will roughly be, no less than I think there's some additional costs with recycling and landfill that don't get incurred until after we get invoiced by RecycleSource, And so those costs fluctuate based on the market, But certainly all the costs of our labor, the cost of our equipment, same with the landfill.",x
"We're in the process of renegotiating a landfill contract, so we anticipate those costs, which is the other reason for the amendment because we realized that like, hey, there's a good potential, There's a potential for us to have an increased cost of everything captured there.",x
So we just want to have the flexibility to work with the university to realize those.,x
"Okay, Thank you, Any further discussion?",x
Second round.,x
"Councilwoman Kale-Smith, Just briefly, I do want to thank you, Supervisor, for all the work that you do and Director, for all the work you do across the Pittsburgh.",x
Your institutional knowledge really means a lot And I know that when I send you stuff and how you address it and how you handle it and the responses you give.,x
So I just want to thank you.,x
"Thank you, Councilman Coghill.",x
"Thank you, Madam Chair.",x
"I usually complain, but I'm not, you know, honestly.",x
I want to also back up Councilwoman Kale-Smith.,x
"Yeah, the job you do, Shawn, honestly, is phenomenal.",x
"I get very, very few phone calls, complaints on refuge.",x
"you know, and you've been really great about sending public works by when we do these cleanups and you know they've come in and hauled it out.",x
So I really do appreciate all the work you do.,x
So thank you.,x
"Thank you, Further discussion, Councilperson Warwick.",x
"Since we're talking about it, what is the?",x
"what's the lifespan of these city, of the city blue bins that we give out.",x
"Oh, yes, I mean roughly, We really haven't got there yet.",x
"Okay, Certainly, we've just finally got them all to our residence.",x
We do have a warranty on them.,x
"So if there are things that break, things like that, we can get them replaced.",x
"Okay, You know, you're typically, you know, five, ten years behind.",x
"Okay, So maybe it just depends on the condition of use, I guess, Okay, I just next time we do, like next time it comes around, I think, the clams.",x
I just watched one of your crews even throwing it in the truck.,x
it looks easier Because it's like they don't have to take it off or whatever.,x
they just- and you know it's closed and then they just do it.,x
It'd be great to give those to residents for both the regular trash and for the recycle.,x
Do we give regular trash?,x
"No, No, We should do it.",x
"No, be here for that, okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, But the lids kind of warp a little bit.",x
"Yeah, Anyway, At the time that was the best option.",x
"Sure, sure, sure, You can always look to improve.",x
"Yeah, Anyway, that's it, thanks, Thank you.",x
"All right, so we have a proposed amendment on the table.",x
"All those in favor of amending Bill 1713 with the amendment before us, please indicate by saying aye, Aye, Aye, Aye.",x
Amendment is approved.,x
"All those in favor of Bill 1713 as amended please indicate by saying aye, Aye, Aye.",x
Affirmative recommendation.,x
"thanks very much, Thank you.",x
"New paper is Bill 1729 Resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood at no cost to the city.",x
Motion to approve Second Discussion Seeing none.,x
"all those in favor of Bill 1729 please indicate by saying aye, Aye, Aye.",x
Affirmative recommendation.,x
"That moves us to Innovation, Performance, Asset Management and Technology Committee, chaired by Councilwoman Gross.",x
Supplemental new papers.,x
"Bill 1746 Resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement, agreements and or amendments with Liv Barn and or with Team Pittsburgh Ball Hockey for the purpose of Team Pittsburgh live streaming deck hockey games held at the deck hockey rink in Marmaduke Park at no cost to the city.",x
Motion to approve Second Discussion Discussion.,x
"Councilman Wilson, Yeah, I wanna thank the chair for allowing us to go forward.",x
"They have a deck hockey tournament coming up this summer and this live streaming- I'm gonna go ahead and say that, I'm gonna go ahead and say that this is a live streaming option- will be available So parents, offsite can, can watch it or I believe it's.",x
you know something.,x
"where you can, you can watch remotely.",x
"So but I also just wanna mention, you know, wanna thank DBW for getting us together, this agreement together, and every all the other work that DBW does to make sure that Marmaduke Park is is all well and good.",x
"And then also thanks to the team Pittsburgh deck hockey group, because it's it's probably the most vibrant area in Brighton Heights.",x
"they're the concession stand open for the whole community and, you know, really brings a lot of people out in the neighborhood.",x
"So thanks everyone, Thank you.",x
Any further discussion?,x
"Councilman Kales, I just want to say to Councilman Wilson that my grandkids play over that way and I sometimes go to the fields to watch them play and they look at me like I'm a stranger in his territory and I shouldn't be there.",x
So I just want to say you're well respected over there.,x
"So thank you, Oh, thanks, Now you can watch the games or you can watch your, your grandkids from from the, from the live stream.",x
That sounds perfect to me.,x
"All those in favor of bill of 1746, please indicate by saying aye, Aye, Affirmative recommendation.",x
Thank you.,x
"That moves us to our final committee of the day, Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley.",x
"Bill 1727 resolution authorizing the Pittsburgh Land Bank to acquire all the city's right, title and interests, if any, and enter the publicly owned property in the 34th city of Pittsburgh designated and indeed registry office of Allegheny county as block 33 K, lot 128, 2019, reefer street, council, district three, at no cost to the city.",x
Is there a motion?,x
Motion to approve Second Second Discussion: Seeing none.,x
"all those in favor of Bill 1727, please indicate by saying aye, Aye, Affirmative recommendation.",x
That moves us back up to Bill 1736.,x
We have a motion to approve and a second.,x
I have been communicating with Council President Lavelle who I believe was having some trouble connecting.,x
"Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing.",x
Can we get a motion?,x
"Yes, Second.",x
So we have a motion and a second to hold Bill 1736 for public hearing.,x
"All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing.",x
Thank you very much.,x
That exhausts our Standing Committee's agenda Meeting announcements.,x
"This afternoon at 2 pm, Council will hold a cablecast public hearing on Bill 1579 regarding reduced reduction in required minimum lot sizes.",x
Speaker registration will close at 12.,x
"30 pm today And next week, Council will hold their regular meeting on Tuesday April 29th and Standing Committee's meeting on Wednesday April 30th, both at 10 am.",x
"To register to speak at these meetings and hearings, please fill out the sign-up form on the Council meeting web page by the deadline.",x
You may also call the Clerk's Office at 412-255-2138.,x
Is there anything from members?,x
Councilwoman Kale-Smith.,x
"Thank you, Madam Chair.",x
"I don't know if we yesterday gave a moment of silence for the Pope, his passing, and I don't know if we even recognized it yesterday because I came in late.",x
"so I apologize, But I would like to do that today if we hadn't.",x
But I would also like to mention that he really he's a great person.,x
He's a great person.,x
He's a great person.,x
He's a great person.,x
He's a great person.,x
He's a great person.,x
He's a great person.,x
He's a great person.,x
He's a great man.,x
He's a great person.,x
He is a great man.,x
He's a great person.,x
He's Undoing.,x
He's Undoing.,x
He's doing work everyday.,x
"He's Undoing, He's doing work, arts and a variety- Gratitude to Mrs runs-upstring, sarynette-les, who's drums- and and sparking young implications for churches.",x
"What do you think they just saw in the knick-knackers, in the Millers, the Judges making their key statement?",x
He was totally radical.,x
He is complicated.,x
I really liked this news that we're hearing today.,x
It's so refreshing to see these very tailed endorsements on the White House.,x
"Colleen, This is great.",x
"This is a report from one of America's official walks of services to the church, which was really going through a struggling time and really having a lot of controversial issues happening, including.",x
"he led through some really difficult times, including the child abuse scandals and all those things.",x
So I do want to acknowledge his passing and say that I'm grateful for the service that he provided.,x
"I even struggle with my own faith and my own religion, like a lot of people do.",x
"I just want to say that I think he was one of those people that kind of brought us closer to the idea, And so I just want to thank him for his leadership and give a moment of silence.",x
"Moment of silence, Please.",x
"Thank you, Thank you, Thank you.",x
"I can only be quiet for so long, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
My brother was actually invited to the funeral.,x
"yeah, If not, can I please get a motion to excuse the absent members?",x
approve the minutes and adjourn the meeting Second.,x
"All those in favor: Aye, Aye, Aye.",x
Meeting is adjourned.,x
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
