sentence,classification,prev2,prev1,next1,next2
Now some of the things that he said and I took it from this.,i,That's the high rise at the top of Bedford.,"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview.",he said that he said that he was going to be a member of the KDKA.,and he said that he was going to be a member of the KDKA.
he said that he said that he was going to be a member of the KDKA.,i,"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview.",Now some of the things that he said and I took it from this.,and he said that he was going to be a member of the KDKA.,"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment."
and he said that he was going to be a member of the KDKA.,i,Now some of the things that he said and I took it from this.,he said that he said that he was going to be a member of the KDKA.,"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment.","Well, the same way with me."
"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment.",i,he said that he said that he was going to be a member of the KDKA.,and he said that he was going to be a member of the KDKA.,"Well, the same way with me.","I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California."
"Well, the same way with me.",i,and he said that he was going to be a member of the KDKA.,"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment.","I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California.","He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford."
"I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California.",p,"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment.","Well, the same way with me.","He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford.",When that happened I was really upset.
"He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford.",i,"Well, the same way with me.","I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California.",When that happened I was really upset.,"I'm saying, how did he even know about August?"
When that happened I was really upset.,i,"I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California.","He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford.","I'm saying, how did he even know about August?",how did he even know about Salah Uddin's brother?
"I'm saying, how did he even know about August?",i,"He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford.",When that happened I was really upset.,how did he even know about Salah Uddin's brother?,That's one of his cronies?
how did he even know about Salah Uddin's brother?,i,When that happened I was really upset.,"I'm saying, how did he even know about August?",That's one of his cronies?,"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about."
That's one of his cronies?,i,"I'm saying, how did he even know about August?",how did he even know about Salah Uddin's brother?,"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about.",I want to know how you knew about Salah Uddin's brother.
"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about.",b,how did he even know about Salah Uddin's brother?,That's one of his cronies?,I want to know how you knew about Salah Uddin's brother.,He got very offensive.
I want to know how you knew about Salah Uddin's brother.,i,That's one of his cronies?,"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about.",He got very offensive.,"He said: well, you got a problem with it?"
He got very offensive.,i,"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about.",I want to know how you knew about Salah Uddin's brother.,"He said: well, you got a problem with it?","And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history."
"He said: well, you got a problem with it?",i,I want to know how you knew about Salah Uddin's brother.,He got very offensive.,"And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history.","Okay, This mayor, I don't appreciate him and I don't think that he is mere material."
"And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history.",i,He got very offensive.,"He said: well, you got a problem with it?","Okay, This mayor, I don't appreciate him and I don't think that he is mere material.",And I was saying something to the community.
"Okay, This mayor, I don't appreciate him and I don't think that he is mere material.",i,"He said: well, you got a problem with it?","And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history.",And I was saying something to the community.,"I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign."
And I was saying something to the community.,i,"And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history.","Okay, This mayor, I don't appreciate him and I don't think that he is mere material.","I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign.","But Cory O'Connor got 300,000."
"I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign.",i,"Okay, This mayor, I don't appreciate him and I don't think that he is mere material.",And I was saying something to the community.,"But Cory O'Connor got 300,000.","And I'm saying, but he's Irish."
"But Cory O'Connor got 300,000.",i,And I was saying something to the community.,"I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign.","And I'm saying, but he's Irish.","And then I remember, oh, his mother was Jewish."
"And I'm saying, but he's Irish.",i,"I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign.","But Cory O'Connor got 300,000.","And then I remember, oh, his mother was Jewish.","So, citizen The Jewish, have that, The Jewish have that O'Connor."
"And then I remember, oh, his mother was Jewish.",i,"But Cory O'Connor got 300,000.","And I'm saying, but he's Irish.","So, citizen The Jewish, have that, The Jewish have that O'Connor.",O'Connor probably will be the mayor.
"So, citizen The Jewish, have that, The Jewish have that O'Connor.",p,"And I'm saying, but he's Irish.","And then I remember, oh, his mother was Jewish.",O'Connor probably will be the mayor.,"Now, one thing I do must say about O'Connor: you gotta give credit where credit's due."
O'Connor probably will be the mayor.,i,"And then I remember, oh, his mother was Jewish.","So, citizen The Jewish, have that, The Jewish have that O'Connor.","Now, one thing I do must say about O'Connor: you gotta give credit where credit's due.",He had much respect for us citizens in this place.
"Now, one thing I do must say about O'Connor: you gotta give credit where credit's due.",i,"So, citizen The Jewish, have that, The Jewish have that O'Connor.",O'Connor probably will be the mayor.,He had much respect for us citizens in this place.,He would be there at 10 o'clock sitting and waiting.
He had much respect for us citizens in this place.,i,O'Connor probably will be the mayor.,"Now, one thing I do must say about O'Connor: you gotta give credit where credit's due.",He would be there at 10 o'clock sitting and waiting.,"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?"
He would be there at 10 o'clock sitting and waiting.,i,"Now, one thing I do must say about O'Connor: you gotta give credit where credit's due.",He had much respect for us citizens in this place.,"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?","And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president."
"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?",i,He had much respect for us citizens in this place.,He would be there at 10 o'clock sitting and waiting.,"And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president.","Thank you, and just have a nice day."
"And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president.",i,He would be there at 10 o'clock sitting and waiting.,"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?","Thank you, and just have a nice day.","Thank you, Ms Brown."
"Thank you, and just have a nice day.",i,"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?","And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president.","Thank you, Ms Brown.","Next speaker, please?"
"Thank you, Ms Brown.",i,"And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president.","Thank you, and just have a nice day.","Next speaker, please?","Hi, my name is Herbert Flaherty Jr."
"Next speaker, please?",p,"Thank you, and just have a nice day.","Thank you, Ms Brown.","Hi, my name is Herbert Flaherty Jr.",I've been living in this.
"Hi, my name is Herbert Flaherty Jr.",p,"Thank you, Ms Brown.","Next speaker, please?",I've been living in this.,"actually, I'm just a city resident."
I've been living in this.,i,"Next speaker, please?","Hi, my name is Herbert Flaherty Jr.","actually, I'm just a city resident.",I'm homeless.
"actually, I'm just a city resident.",i,"Hi, my name is Herbert Flaherty Jr.",I've been living in this.,I'm homeless.,right now I'm in and out of jail.
I'm homeless.,p,I've been living in this.,"actually, I'm just a city resident.",right now I'm in and out of jail.,"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem."
right now I'm in and out of jail.,i,"actually, I'm just a city resident.",I'm homeless.,"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem.",I'm 36 years old.
"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem.",i,I'm homeless.,right now I'm in and out of jail.,I'm 36 years old.,I was born in 89.
I'm 36 years old.,i,right now I'm in and out of jail.,"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem.",I was born in 89.,I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.
I was born in 89.,i,"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem.",I'm 36 years old.,I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.,You know what I mean.
I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.,i,I'm 36 years old.,I was born in 89.,You know what I mean.,It was a rough city.
You know what I mean.,i,I was born in 89.,I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.,It was a rough city.,"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God."
It was a rough city.,i,I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.,You know what I mean.,"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God.","I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything."
"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God.",i,You know what I mean.,It was a rough city.,"I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything.","It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything."
"I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything.",i,It was a rough city.,"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God.","It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything.","You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go."
"It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything.",i,"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God.","I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything.","You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go.","instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that."
"You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go.",b,"I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything.","It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything.","instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that.",It was a place where you could go.
"instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that.",i,"It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything.","You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go.",It was a place where you could go.,"They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there."
It was a place where you could go.,i,"You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go.","instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that.","They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there.","You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce."
"They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there.",i,"instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that.",It was a place where you could go.,"You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce.",You know what I mean.
"You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce.",i,It was a place where you could go.,"They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there.",You know what I mean.,There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.
You know what I mean.,i,"They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there.","You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce.",There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.,"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps."
There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.,i,"You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce.",You know what I mean.,"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps.","It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever."
"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps.",i,You know what I mean.,There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.,"It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever.","And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive."
"It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever.",i,There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.,"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps.","And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive.",Maybe a new building or a college campus to teach adults how to be productive members of society.
"And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive.",b,"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps.","It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever.",Maybe a new building or a college campus to teach adults how to be productive members of society.,You know what I mean.
Maybe a new building or a college campus to teach adults how to be productive members of society.,b,"It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever.","And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive.",You know what I mean.,"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time."
You know what I mean.,i,"And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive.",Maybe a new building or a college campus to teach adults how to be productive members of society.,"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time.","Thank you, Thank you very much."
"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time.",i,Maybe a new building or a college campus to teach adults how to be productive members of society.,You know what I mean.,"Thank you, Thank you very much.","Thank you, Thank you very much."
"Thank you, Thank you very much.",i,You know what I mean.,"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time.","Thank you, Thank you very much.","Next speaker, please, Good morning."
"Thank you, Thank you very much.",i,"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time.","Thank you, Thank you very much.","Next speaker, please, Good morning.",Special Agent Sunshine.
"Next speaker, please, Good morning.",p,"Thank you, Thank you very much.","Thank you, Thank you very much.",Special Agent Sunshine.,"Thank you, Lord, for bringing me here."
Special Agent Sunshine.,p,"Thank you, Thank you very much.","Next speaker, please, Good morning.","Thank you, Lord, for bringing me here.","I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily."
"Thank you, Lord, for bringing me here.",p,"Next speaker, please, Good morning.",Special Agent Sunshine.,"I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily.","I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it."
"I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily.",i,Special Agent Sunshine.,"Thank you, Lord, for bringing me here.","I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it.","Lord, throw them into a lake of fire."
"I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it.",i,"Thank you, Lord, for bringing me here.","I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily.","Lord, throw them into a lake of fire.","In Jesus' name, I pray amen."
"Lord, throw them into a lake of fire.",b,"I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily.","I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it.","In Jesus' name, I pray amen.","Dear God, thank you for equipping me to represent you in this world."
"In Jesus' name, I pray amen.",i,"I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it.","Lord, throw them into a lake of fire.","Dear God, thank you for equipping me to represent you in this world.",Please give me the strength and wisdom to reflect you well so that others are drawn to you.
"Dear God, thank you for equipping me to represent you in this world.",b,"Lord, throw them into a lake of fire.","In Jesus' name, I pray amen.",Please give me the strength and wisdom to reflect you well so that others are drawn to you.,That's a lot he has me doing out here y'all.
Please give me the strength and wisdom to reflect you well so that others are drawn to you.,i,"In Jesus' name, I pray amen.","Dear God, thank you for equipping me to represent you in this world.",That's a lot he has me doing out here y'all.,"I'm literally going different places along with coming here to find out where the money is going and why there's so many homeless people out here on the street And the assessment that I've come to a conclusion and made over an almost two-year period is this: Grant funds from the 2023 National Sexual Assault Kid Initiative Grant in the amount not to exceed 37,000 to support overtime for PPP detectives For the investigation of old sexual assault cases."
That's a lot he has me doing out here y'all.,i,"Dear God, thank you for equipping me to represent you in this world.",Please give me the strength and wisdom to reflect you well so that others are drawn to you.,"I'm literally going different places along with coming here to find out where the money is going and why there's so many homeless people out here on the street And the assessment that I've come to a conclusion and made over an almost two-year period is this: Grant funds from the 2023 National Sexual Assault Kid Initiative Grant in the amount not to exceed 37,000 to support overtime for PPP detectives For the investigation of old sexual assault cases.","Really, How old are they?"
"I'm literally going different places along with coming here to find out where the money is going and why there's so many homeless people out here on the street And the assessment that I've come to a conclusion and made over an almost two-year period is this: Grant funds from the 2023 National Sexual Assault Kid Initiative Grant in the amount not to exceed 37,000 to support overtime for PPP detectives For the investigation of old sexual assault cases.",p,Please give me the strength and wisdom to reflect you well so that others are drawn to you.,That's a lot he has me doing out here y'all.,"Really, How old are they?",That's the million dollar question.
"Really, How old are they?",i,That's a lot he has me doing out here y'all.,"I'm literally going different places along with coming here to find out where the money is going and why there's so many homeless people out here on the street And the assessment that I've come to a conclusion and made over an almost two-year period is this: Grant funds from the 2023 National Sexual Assault Kid Initiative Grant in the amount not to exceed 37,000 to support overtime for PPP detectives For the investigation of old sexual assault cases.",That's the million dollar question.,"How old are these sexual assault cases that you need 37,000 for Because it's too many people out on the street?"
That's the million dollar question.,i,"I'm literally going different places along with coming here to find out where the money is going and why there's so many homeless people out here on the street And the assessment that I've come to a conclusion and made over an almost two-year period is this: Grant funds from the 2023 National Sexual Assault Kid Initiative Grant in the amount not to exceed 37,000 to support overtime for PPP detectives For the investigation of old sexual assault cases.","Really, How old are they?","How old are these sexual assault cases that you need 37,000 for Because it's too many people out on the street?",I'm not playing with y'all.
"How old are these sexual assault cases that you need 37,000 for Because it's too many people out on the street?",i,"Really, How old are they?",That's the million dollar question.,I'm not playing with y'all.,"We're going to assess where this money is going And when we do, God is the one that's going to take action And he's going to force y'all to help these people on the street."
I'm not playing with y'all.,i,That's the million dollar question.,"How old are these sexual assault cases that you need 37,000 for Because it's too many people out on the street?","We're going to assess where this money is going And when we do, God is the one that's going to take action And he's going to force y'all to help these people on the street.",Don't believe it?
"We're going to assess where this money is going And when we do, God is the one that's going to take action And he's going to force y'all to help these people on the street.",i,"How old are these sexual assault cases that you need 37,000 for Because it's too many people out on the street?",I'm not playing with y'all.,Don't believe it?,"Just watch An increase from the 2025 capital budget: 63,333."
Don't believe it?,i,I'm not playing with y'all.,"We're going to assess where this money is going And when we do, God is the one that's going to take action And he's going to force y'all to help these people on the street.","Just watch An increase from the 2025 capital budget: 63,333.",30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.
"Just watch An increase from the 2025 capital budget: 63,333.",b,"We're going to assess where this money is going And when we do, God is the one that's going to take action And he's going to force y'all to help these people on the street.",Don't believe it?,30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.,"Really, That's the increase."
30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.,i,Don't believe it?,"Just watch An increase from the 2025 capital budget: 63,333.","Really, That's the increase.",It's the increase part that's getting my attention and I hope is getting the attention of everybody else: These increases.
"Really, That's the increase.",i,"Just watch An increase from the 2025 capital budget: 63,333.",30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.,It's the increase part that's getting my attention and I hope is getting the attention of everybody else: These increases.,what you guys are doing is you're going on vacation with these increases of money And it's just not going to happen.
It's the increase part that's getting my attention and I hope is getting the attention of everybody else: These increases.,i,30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.,"Really, That's the increase.",what you guys are doing is you're going on vacation with these increases of money And it's just not going to happen.,I'm so sorry That's coming to an end.
what you guys are doing is you're going on vacation with these increases of money And it's just not going to happen.,i,"Really, That's the increase.",It's the increase part that's getting my attention and I hope is getting the attention of everybody else: These increases.,I'm so sorry That's coming to an end.,Proverbs 21.
I'm so sorry That's coming to an end.,i,It's the increase part that's getting my attention and I hope is getting the attention of everybody else: These increases.,what you guys are doing is you're going on vacation with these increases of money And it's just not going to happen.,Proverbs 21.,13 says Those who shut their ears to the cries of the poor will be ignored in their own time of need.
